Date,Open,High,Low,Close,Adj Close,Volume
2021-04-05,65.669998,68.400002,65.360001,68.260002,63.608192,67194600
2021-04-12,68.199997,68.489998,63.680000,64.750000,60.337387,153410500
2021-04-19,64.699997,64.739998,57.900002,59.240002,55.202888,183971100
2021-04-26,59.099998,59.520000,57.070000,57.529999,53.609421,162223400
2021-05-03,57.860001,58.009998,55.810001,57.669998,53.739880,124095500
2021-05-10,57.150002,57.230000,53.419998,55.349998,51.895657,158597700
2021-05-17,55.290001,56.709999,53.840000,56.080002,52.580101,103351600
2021-05-24,56.650002,57.880001,56.400002,57.119999,53.555191,109339400
2021-05-31,57.610001,57.820000,56.090000,57.369999,53.789589,82135100
2021-06-07,57.410000,58.029999,56.599998,57.849998,54.239632,109381500
2021-06-14,58.020000,58.419998,55.099998,55.669998,52.195686,141087800
2021-06-21,55.750000,56.410000,55.230000,55.910000,52.420708,100536200
2021-06-28,56.360001,57.830002,55.389999,56.759998,53.217663,120823500
2021-07-05,56.919998,57.009998,54.790001,55.990002,52.495720,78914000
2021-07-12,56.259998,57.459999,54.900002,54.970001,51.539375,91553200
2021-07-19,54.410000,56.540001,52.320000,53.000000,49.692322,169805200
2021-07-26,52.810001,54.540001,52.310001,53.720001,50.367386,134590300
2021-08-02,53.990002,54.470001,53.259998,53.919998,50.554901,86652700
2021-08-09,54.080002,54.410000,53.060001,53.490002,50.477646,79827800
2021-08-16,53.230000,53.490002,51.419998,52.009998,49.080990,103494600
2021-08-23,52.590000,54.230000,52.480000,53.889999,50.855110,95468500
2021-08-30,54.259998,54.869999,53.320000,53.509998,50.496513,84872100
2021-09-06,53.570000,54.980000,52.990002,53.840000,50.807926,65970600
2021-09-13,54.610001,55.490002,53.669998,54.259998,51.204273,118730400
2021-09-20,53.209999,54.419998,52.320000,54.220001,51.166534,101065400
2021-09-27,53.939999,54.869999,53.049999,53.860001,50.826805,99534700
2021-10-04,53.930000,54.990002,53.070000,53.810001,50.779621,102314700
2021-10-11,53.810001,54.490002,51.869999,54.459999,51.393013,117534900
2021-10-18,54.189999,56.070000,49.139999,49.459999,46.674591,206013600
2021-10-25,49.830002,50.070000,47.869999,49.000000,46.240498,226283900
2021-11-01,49.400002,51.580002,49.000000,50.919998,48.052372,140791300
2021-11-08,51.459999,51.990002,50.180000,50.310001,47.806892,128501700
2021-11-15,50.410000,51.150002,48.970001,49.520000,47.056190,137436300
2021-11-22,49.549999,50.849998,48.119999,48.779999,46.353004,129407700
2021-11-29,49.299999,50.400002,48.330002,49.250000,46.799625,185498900
2021-12-06,49.480000,55.000000,49.180000,50.590000,48.072956,224688700
2021-12-13,50.849998,51.400002,49.320000,50.619999,48.101467,185672200
2021-12-20,49.910000,51.730000,48.959999,51.310001,48.757133,110602700
2021-12-27,51.349998,52.160000,51.299999,51.500000,48.937683,89129000
2022-01-03,51.650002,56.169998,51.599998,53.439999,50.781155,205123400
2022-01-10,53.970001,56.279999,53.310001,55.700001,52.928719,177949700
2022-01-17,55.310001,55.650002,51.939999,52.040001,49.450817,140863900
2022-01-24,51.480000,52.720001,46.299999,47.730000,45.355251,314777400
2022-01-31,47.680000,49.689999,47.130001,48.009998,45.621319,199754500
2022-02-07,48.130001,49.970001,47.500000,47.630001,45.605003,160797900
2022-02-14,47.919998,48.490002,44.509998,45.040001,43.125118,198868400
2022-02-21,44.689999,47.790001,43.630001,47.709999,45.681602,207276400
2022-02-28,47.000000,48.990002,46.220001,48.070000,46.026302,217436200
2022-03-07,48.009998,48.720001,45.770000,45.830002,43.881531,188242200
2022-03-14,45.900002,47.599998,44.070000,47.450001,45.432663,184120400
2022-03-21,47.459999,51.980000,47.070000,51.830002,49.626442,182878300
2022-03-28,51.360001,52.509998,47.330002,48.110001,46.064602,165156300
2022-04-04,48.169998,49.230000,46.770000,47.020000,45.020939,127367100
2022-04-11,46.900002,47.910000,45.619999,45.669998,43.728333,118567000
2022-04-18,45.529999,48.900002,45.520000,46.540001,44.561344,135400100
2022-04-25,46.209999,47.270000,43.500000,43.590000,41.736767,211539700
2022-05-02,43.720001,46.639999,43.509998,44.299999,42.416584,224143800
2022-05-09,43.810001,44.740002,42.009998,43.599998,42.076332,202411200
2022-05-16,43.419998,44.419998,40.310001,41.650002,40.194481,162870200
2022-05-23,41.689999,44.549999,41.099998,44.549999,42.993134,142700100
2022-05-30,44.250000,44.930000,43.340000,43.389999,41.873672,132899300
2022-06-06,43.810001,44.040001,39.180000,39.180000,37.810799,192369100
2022-06-13,38.549999,39.169998,36.599998,36.970001,35.678032,236309600
2022-06-20,37.360001,38.639999,36.910000,38.610001,37.260719,134898800
2022-06-27,38.869999,39.060001,35.880001,36.340000,35.070045,168584000
2022-07-04,35.930000,38.330002,35.540001,37.990002,36.662384,115205000
2022-07-11,37.660000,38.669998,36.290001,38.619999,37.270367,153092800
2022-07-18,39.099998,40.730000,38.529999,39.200001,37.830101,191308800
2022-07-25,39.279999,40.419998,35.240002,36.310001,35.041096,292715200
2022-08-01,36.049999,37.689999,35.180000,35.389999,34.153244,260208100
2022-08-08,35.360001,36.290001,34.400002,36.110001,35.199890,205225100
2022-08-15,36.099998,36.580002,35.189999,35.380001,34.488289,135600600
2022-08-22,35.000000,35.060001,33.349998,33.360001,32.519199,181449500
2022-08-29,33.230000,33.410000,31.059999,31.219999,30.433134,188567800
2022-09-05,31.389999,31.500000,29.910000,31.459999,30.667086,155748100
2022-09-12,31.740000,31.860001,28.420000,29.240000,28.503040,263157700
2022-09-19,29.020000,29.590000,27.190001,27.520000,26.826391,183842000
2022-09-26,27.559999,27.700001,25.740000,25.770000,25.120499,214993500
2022-10-03,26.330000,27.840000,25.650000,25.719999,25.071756,207844300
2022-10-10,25.940001,26.840000,24.590000,25.910000,25.256968,241810700
2022-10-17,26.309999,27.049999,25.540001,26.969999,26.290251,210732100
2022-10-24,26.750000,29.219999,26.129999,29.070000,28.337324,261148800
2022-10-31,29.080000,29.180000,27.170000,28.200001,27.489252,238612600
2022-11-07,28.360001,30.629999,27.520000,30.430000,30.063677,213963000
2022-11-14,30.340000,31.340000,29.000000,29.870001,29.510418,175016800
2022-11-21,29.660000,30.080000,28.910000,29.340000,28.986799,96129700
2022-11-28,29.100000,30.480000,28.219999,29.410000,29.055956,195144200
2022-12-05,29.420000,29.750000,28.070000,28.240000,27.900040,144108900
2022-12-12,28.129999,30.090000,26.450001,26.920000,26.595930,257592700
2022-12-19,26.900000,26.969999,25.350000,26.090000,25.775923,168705900
2022-12-26,25.850000,26.459999,25.500000,26.430000,26.111830,117699900
2023-01-02,27.049999,28.830000,26.370001,28.730000,28.384142,134314400
2023-01-09,28.840000,30.379999,28.840000,30.110001,29.747530,151202500
2023-01-16,30.180000,30.260000,28.240000,29.219999,28.868242,151003800
2023-01-23,29.330000,30.490000,26.780001,28.160000,27.821003,296555200
2023-01-30,27.719999,31.170000,27.530001,30.320000,29.955000,290931800
2023-02-06,29.549999,29.650000,27.340000,27.799999,27.465336,211125200
2023-02-13,27.870001,28.879999,27.379999,27.610001,27.610001,144694500
2023-02-20,27.110001,27.270000,24.920000,25.139999,25.139999,253426800
2023-02-27,25.549999,26.480000,24.730000,26.400000,26.400000,220774200
2023-03-06,26.469999,27.520000,25.450001,27.219999,27.219999,237171300
2023-03-13,26.740000,31.000000,26.610001,29.809999,29.809999,304376800
2023-03-20,29.799999,29.900000,27.980000,29.360001,29.360001,231544000
2023-03-27,29.370001,32.900002,28.629999,32.669998,32.669998,287540000
2023-04-03,32.939999,33.840000,32.340000,32.810001,32.810001,180920000
2023-04-06,32.599998,33.000000,32.459999,32.810001,32.810001,28517431
